unit_id,cluster_id,owner_name,contact_number,is_vacant,handover_date
UNT-00037,CLS-SML-061,Pemilik Properti 36,,True,2022-05-25
UNT-00038,CLS-SML-021,Pemilik Properti 37,08186461709,False,2022-07-26
UNT-00039,CLS-SML-088,Pemilik Properti 38,08142037343,False,2021-01-06
UNT-00040,CLS-SML-075,Pemilik Properti 39,08137171925,False,2022-09-20
UNT-00041,CLS-SML-077,Pemilik Properti 40,,False,2020-05-14
UNT-00042,CLS-SML-059,Pemilik Properti 41,08145398493,False,2020-09-18
UNT-00043,CLS-SML-001,Pemilik Properti 42,,False,2020-04-05
UNT-00044,CLS-SML-043,Pemilik Properti 43,08153282315,True,2020-02-01
UNT-00045,CLS-SML-018,Pemilik Properti 44,08173010131,False,2022-03-11
UNT-00046,CLS-SML-050,Pemilik Properti 45,08146521031,False,2020-04-04
UNT-00047,CLS-SML-017,Pemilik Properti 46,08156619567,False,2021-09-11
UNT-00048,CLS-SML-049,Pemilik Properti 47,08139310738,False,2021-07-02
UNT-00049,CLS-SML-081,Pemilik Properti 48,08159280242,False,2021-07-18
UNT-00050,CLS-SML-082,Pemilik Properti 49,08144315351,False,2020-09-25
UNT-00051,CLS-SML-077,Pemilik Properti 50,08144728001,False,2021-12-06
UNT-00052,CLS-SML-096,Pemilik Properti 51,08154314305,True,2020-07-27
UNT-00053,CLS-SML-064,Pemilik Properti 52,08153164166,False,2021-06-16
UNT-00054,CLS-SML-050,Pemilik Properti 53,,True,2021-08-24
UNT-00055,CLS-SML-016,Pemilik Properti 54,08160318455,True,2021-04-03
UNT-00056,CLS-SML-026,Pemilik Properti 55,08140070759,False,2020-02-08
UNT-00057,CLS-SML-085,Pemilik Properti 56,,False,2021-11-29
UNT-00058,CLS-SML-026,Pemilik Properti 57,,False,2022-02-02
UNT-00059,CLS-SML-070,Pemilik Properti 58,08177722691,False,2020-12-29
UNT-00060,CLS-SML-051,Pemilik Properti 59,08118261887,True,2022-07-20
UNT-00061,CLS-SML-016,Pemilik Properti 60,08137687427,True,2021-06-24
UNT-00062,CLS-SML-085,Pemilik Properti 61,08199705877,True,2022-06-06
UNT-00063,CLS-SML-078,Pemilik Properti 62,08122734230,False,2022-05-16
UNT-00064,CLS-SML-047,Pemilik Properti 63,,False,2022-06-24
UNT-00065,CLS-SML-018,Pemilik Properti 64,08131511975,False,2020-08-23
UNT-00066,CLS-SML-001,Pemilik Properti 65,08182599200,False,2020-05-04
UNT-00067,CLS-SML-068,Pemilik Properti 66,08177898930,False,2020-12-09
UNT-00068,CLS-SML-038,Pemilik Properti 67,,True,2022-02-08
UNT-00069,CLS-SML-083,Pemilik Properti 68,,False,2021-01-11
UNT-00070,CLS-SML-031,Pemilik Properti 69,08175672347,False,2020-09-15
UNT-00071,CLS-SML-027,Pemilik Properti 70,,False,2021-11-10
UNT-00072,CLS-SML-061,Pemilik Properti 71,,False,2020-05-13
UNT-00073,CLS-SML-048,Pemilik Properti 72,08126814364,False,2021-08-01
UNT-00074,CLS-SML-068,Pemilik Properti 73,,False,2022-08-23
UNT-00075,CLS-SML-052,Pemilik Properti 74,08192103323,False,2021-02-12
UNT-00076,CLS-SML-038,Pemilik Properti 75,08192294696,False,2020-04-10
UNT-00077,CLS-SML-005,Pemilik Properti 76,08186524538,False,2021-06-05
UNT-00078,CLS-SML-038,Pemilik Properti 77,08127280735,True,2020-07-28
UNT-00079,CLS-SML-037,Pemilik Properti 78,08150158417,False,2021-01-21
UNT-00080,CLS-SML-081,Pemilik Properti 79,08145601799,False,2021-10-03
UNT-00081,CLS-SML-006,Pemilik Properti 80,08124305174,True,2022-07-10
UNT-00082,CLS-SML-055,Pemilik Properti 81,08143603016,False,2020-04-26
UNT-00083,CLS-SML-091,Pemilik Properti 82,,True,2021-10-04
UNT-00084,CLS-SML-064,Pemilik Properti 83,08187017267,False,2021-06-25
UNT-00085,CLS-SML-084,Pemilik Properti 84,08119888689,True,2020-05-04
UNT-00086,CLS-SML-077,Pemilik Properti 85,,False,2021-08-26
UNT-00087,CLS-SML-013,Pemilik Properti 86,08113992542,False,2020-02-01
UNT-00088,CLS-SML-034,Pemilik Properti 87,08129445874,False,2021-09-08
UNT-00089,CLS-SML-086,Pemilik Properti 88,08186536329,False,2021-12-05
UNT-00090,CLS-SML-005,Pemilik Properti 89,,False,2021-12-26
UNT-00091,CLS-SML-050,Pemilik Properti 90,08118182337,False,2020-02-18
UNT-00092,CLS-SML-047,Pemilik Properti 91,08145904784,False,2020-03-19
UNT-00093,CLS-SML-056,Pemilik Properti 92,,False,2022-03-25
UNT-00094,CLS-SML-100,Pemilik Properti 93,08132404167,False,2022-09-13
UNT-00095,CLS-SML-020,Pemilik Properti 94,08129310476,False,2021-03-02
UNT-00096,CLS-SML-048,Pemilik Properti 95,,True,2022-08-26
UNT-00097,CLS-SML-043,Pemilik Properti 96,,True,2020-05-08
UNT-00098,CLS-SML-049,Pemilik Properti 97,08172330987,False,2021-07-29
UNT-00099,CLS-SML-091,Pemilik Properti 98,,False,2021-03-04
UNT-00100,CLS-SML-049,Pemilik Properti 99,08168751798,True,2022-01-03
UNT-00101,CLS-SML-003,Pemilik Properti 100,08133753562,False,2020-11-17
UNT-00102,CLS-SML-036,Pemilik Properti 101,,False,2022-09-20
UNT-00103,CLS-SML-047,Pemilik Properti 102,,False,2020-04-04
UNT-00104,CLS-SML-034,Pemilik Properti 103,08194517752,False,2021-03-03
UNT-00105,CLS-SML-039,Pemilik Properti 104,08191407109,True,2021-12-10
UNT-00106,CLS-SML-098,Pemilik Properti 105,08147051232,False,2021-06-19
UNT-00107,CLS-SML-068,Pemilik Properti 106,08116810838,True,2020-05-14
UNT-00108,CLS-SML-047,Pemilik Properti 107,08138500005,True,2021-09-24
UNT-00109,CLS-SML-059,Pemilik Properti 108,08189498732,False,2021-04-03
UNT-00110,CLS-SML-038,Pemilik Properti 109,08191467821,False,2021-11-08
UNT-00111,CLS-SML-071,Pemilik Properti 110,08119497068,False,2021-02-22
UNT-00112,CLS-SML-035,Pemilik Properti 111,08131303760,False,2020-10-17
UNT-00113,CLS-SML-071,Pemilik Properti 112,08133123253,False,2021-10-12
UNT-00114,CLS-SML-042,Pemilik Properti 113,08128367075,False,2020-08-01
UNT-00115,CLS-SML-027,Pemilik Properti 114,,False,2022-03-29
UNT-00116,CLS-SML-011,Pemilik Properti 115,08160143494,True,2020-09-10
UNT-00117,CLS-SML-088,Pemilik Properti 116,,True,2020-10-07
UNT-00118,CLS-SML-025,Pemilik Properti 117,08184517863,True,2021-11-09
UNT-00119,CLS-SML-074,Pemilik Properti 118,08111679450,False,2020-08-15
UNT-00120,CLS-SML-013,Pemilik Properti 119,,True,2020-09-18
UNT-00121,CLS-SML-061,Pemilik Properti 120,08178256913,False,2022-02-06
UNT-00122,CLS-SML-002,Pemilik Properti 121,08182740672,False,2022-05-02
UNT-00123,CLS-SML-094,Pemilik Properti 122,08196866074,False,2021-01-03
UNT-00124,CLS-SML-052,Pemilik Properti 123,08189794514,False,2021-08-04
UNT-00125,CLS-SML-007,Pemilik Properti 124,08176859715,False,2022-09-21
UNT-00126,CLS-SML-019,Pemilik Properti 125,08172497685,True,2021-10-21
UNT-00127,CLS-SML-051,Pemilik Properti 126,08150705833,False,2022-09-18
UNT-00128,CLS-SML-046,Pemilik Properti 127,08122030624,False,2020-08-26
UNT-00129,CLS-SML-037,Pemilik Properti 128,08191090328,False,2022-05-07
UNT-00130,CLS-SML-090,Pemilik Properti 129,,False,2020-11-03
UNT-00131,CLS-SML-047,Pemilik Properti 130,08185976124,False,2021-07-15
UNT-00132,CLS-SML-044,Pemilik Properti 131,08164021300,False,2022-01-24
UNT-00133,CLS-SML-078,Pemilik Properti 132,08187522341,True,2022-05-31
UNT-00134,CLS-SML-056,Pemilik Properti 133,08155825232,False,2020-11-27
UNT-00135,CLS-SML-022,Pemilik Properti 134,,False,2021-02-25
UNT-00136,CLS-SML-031,Pemilik Properti 135,,False,2020-09-19
UNT-00137,CLS-SML-079,Pemilik Properti 136,08129766753,True,2021-05-16
UNT-00138,CLS-SML-098,Pemilik Properti 137,08152989851,True,2021-11-20
UNT-00139,CLS-SML-059,Pemilik Properti 138,08142621141,False,2022-03-29
UNT-00140,CLS-SML-036,Pemilik Properti 139,08135808588,False,2020-11-03
UNT-00141,CLS-SML-082,Pemilik Properti 140,,False,2020-06-19
UNT-00142,CLS-SML-052,Pemilik Properti 141,08125039487,True,2021-04-26
UNT-00143,CLS-SML-049,Pemilik Properti 142,08155010405,True,2022-06-26
UNT-00144,CLS-SML-095,Pemilik Properti 143,08147698714,False,2020-01-21
UNT-00145,CLS-SML-095,Pemilik Properti 144,08172299222,True,2021-01-22
UNT-00146,CLS-SML-003,Pemilik Properti 145,,False,2020-10-22
UNT-00147,CLS-SML-046,Pemilik Properti 146,08156000318,True,2022-05-05
UNT-00148,CLS-SML-064,Pemilik Properti 147,08145689239,True,2020-06-23
UNT-00149,CLS-SML-001,Pemilik Properti 148,,True,2022-04-09
UNT-00150,CLS-SML-096,Pemilik Properti 149,08187892518,False,2020-10-31
UNT-00151,CLS-SML-020,Pemilik Properti 150,08191292771,False,2022-04-03
UNT-00152,CLS-SML-006,Pemilik Properti 151,08140138428,False,2021-07-03
UNT-00153,CLS-SML-035,Pemilik Properti 152,08167193117,True,2022-07-26
UNT-00154,CLS-SML-027,Pemilik Properti 153,,False,2021-08-31
UNT-00155,CLS-SML-016,Pemilik Properti 154,08188190957,False,2021-02-09
UNT-00156,CLS-SML-007,Pemilik Properti 155,08163442427,False,2021-06-09
UNT-00157,CLS-SML-064,Pemilik Properti 156,08156399839,True,2020-05-30
UNT-00158,CLS-SML-085,Pemilik Properti 157,08115745592,True,2022-08-10
UNT-00159,CLS-SML-018,Pemilik Properti 158,,False,2022-01-04
UNT-00160,CLS-SML-081,Pemilik Properti 159,08123119914,False,2020-08-27
UNT-00161,CLS-SML-088,Pemilik Properti 160,08167053869,False,2021-03-28
UNT-00162,CLS-SML-085,Pemilik Properti 161,08129016937,True,2022-05-02
UNT-00163,CLS-SML-043,Pemilik Properti 162,08182767099,False,2020-04-16
UNT-00164,CLS-SML-027,Pemilik Properti 163,08131520816,False,2022-08-21
UNT-00165,CLS-SML-092,Pemilik Properti 164,08187797943,False,2021-09-05
UNT-00166,CLS-SML-098,Pemilik Properti 165,08138280292,False,2020-04-13
UNT-00167,CLS-SML-095,Pemilik Properti 166,08147513610,False,2021-10-12
UNT-00168,CLS-SML-086,Pemilik Properti 167,08118353346,True,2021-01-08
UNT-00169,CLS-SML-026,Pemilik Properti 168,08147976128,False,2020-02-22
UNT-00170,CLS-SML-045,Pemilik Properti 169,08134339413,False,2021-12-27
UNT-00171,CLS-SML-014,Pemilik Properti 170,08190024550,False,2021-03-11
UNT-00172,CLS-SML-046,Pemilik Properti 171,08155340164,False,2022-07-13
UNT-00173,CLS-SML-055,Pemilik Properti 172,08143901038,True,2020-01-08
UNT-00174,CLS-SML-076,Pemilik Properti 173,,False,2021-02-13
UNT-00175,CLS-SML-051,Pemilik Properti 174,08181193156,False,2022-06-25
UNT-00176,CLS-SML-095,Pemilik Properti 175,08131640169,False,2021-07-05
UNT-00177,CLS-SML-045,Pemilik Properti 176,08147540937,True,2021-12-02
UNT-00178,CLS-SML-089,Pemilik Properti 177,08160656703,False,2020-07-27
UNT-00179,CLS-SML-075,Pemilik Properti 178,08198238430,False,2022-04-14
UNT-00180,CLS-SML-077,Pemilik Properti 179,08138515553,False,2022-05-26
UNT-00181,CLS-SML-024,Pemilik Properti 180,08114958424,False,2022-06-26
UNT-00182,CLS-SML-011,Pemilik Properti 181,08199336650,True,2022-08-09
UNT-00183,CLS-SML-088,Pemilik Properti 182,,True,2020-04-07
UNT-00184,CLS-SML-056,Pemilik Properti 183,08194520737,False,2020-05-23
UNT-00185,CLS-SML-061,Pemilik Properti 184,08118193311,False,2021-03-09
UNT-00186,CLS-SML-084,Pemilik Properti 185,08122422504,False,2021-09-30
UNT-00187,CLS-SML-016,Pemilik Properti 186,08152338859,False,2020-11-08
UNT-00188,CLS-SML-031,Pemilik Properti 187,,False,2021-08-18
UNT-00189,CLS-SML-071,Pemilik Properti 188,,False,2022-08-05
UNT-00190,CLS-SML-038,Pemilik Properti 189,,False,2021-12-18
UNT-00191,CLS-SML-055,Pemilik Properti 190,,True,2021-03-12
UNT-00192,CLS-SML-076,Pemilik Properti 191,08146428641,False,2020-10-30
UNT-00193,CLS-SML-080,Pemilik Properti 192,08159625555,False,2020-09-22
UNT-00194,CLS-SML-057,Pemilik Properti 193,,False,2021-07-14
UNT-00195,CLS-SML-007,Pemilik Properti 194,,False,2022-09-01
UNT-00196,CLS-SML-054,Pemilik Properti 195,08163435855,False,2021-04-06
UNT-00197,CLS-SML-074,Pemilik Properti 196,08162209539,True,2020-05-16
UNT-00198,CLS-SML-098,Pemilik Properti 197,,False,2021-05-01
UNT-00199,CLS-SML-051,Pemilik Properti 198,08147432939,False,2021-09-24
UNT-00200,CLS-SML-075,Pemilik Properti 199,08171310603,False,2022-01-03
UNT-00201,CLS-SML-066,Pemilik Properti 200,08160308110,False,2020-11-01
UNT-00202,CLS-SML-047,Pemilik Properti 201,08125207549,False,2022-04-09
UNT-00203,CLS-SML-066,Pemilik Properti 202,,False,2021-12-27
UNT-00204,CLS-SML-006,Pemilik Properti 203,,False,2020-04-13
UNT-00205,CLS-SML-081,Pemilik Properti 204,08178366344,True,2020-07-16
UNT-00206,CLS-SML-003,Pemilik Properti 205,,True,2021-02-20
UNT-00207,CLS-SML-068,Pemilik Properti 206,08160420519,True,2022-08-23
UNT-00208,CLS-SML-064,Pemilik Properti 207,,False,2021-10-12
UNT-00209,CLS-SML-041,Pemilik Properti 208,08184390507,False,2022-03-29
UNT-00210,CLS-SML-025,Pemilik Properti 209,08141108192,False,2021-04-01
UNT-00211,CLS-SML-002,Pemilik Properti 210,08194637404,False,2021-11-21
UNT-00212,CLS-SML-068,Pemilik Properti 211,08191960712,False,2021-06-27
UNT-00213,CLS-SML-004,Pemilik Properti 212,,False,2022-04-05
UNT-00214,CLS-SML-066,Pemilik Properti 213,08132678568,False,2022-01-05
UNT-00215,CLS-SML-075,Pemilik Properti 214,,True,2022-09-11
UNT-00216,CLS-SML-023,Pemilik Properti 215,08170784644,True,2021-05-09
UNT-00217,CLS-SML-090,Pemilik Properti 216,08168844758,False,2022-07-26
UNT-00218,CLS-SML-014,Pemilik Properti 217,08162405798,False,2022-05-25
UNT-00219,CLS-SML-054,Pemilik Properti 218,,False,2020-04-01
UNT-00220,CLS-SML-048,Pemilik Properti 219,,False,2021-10-14
UNT-00221,CLS-SML-065,Pemilik Properti 220,08188624246,False,2020-11-05
UNT-00222,CLS-SML-013,Pemilik Properti 221,,False,2020-08-01
UNT-00223,CLS-SML-082,Pemilik Properti 222,08145232520,False,2020-02-25
UNT-00224,CLS-SML-020,Pemilik Properti 223,08165926950,True,2021-03-03
UNT-00225,CLS-SML-054,Pemilik Properti 224,08178462487,False,2021-07-30
UNT-00226,CLS-SML-094,Pemilik Properti 225,08158443311,False,2021-11-23
UNT-00227,CLS-SML-042,Pemilik Properti 226,08165084775,False,2020-02-03
UNT-00228,CLS-SML-090,Pemilik Properti 227,08143824182,False,2022-09-26
UNT-00229,CLS-SML-088,Pemilik Properti 228,08186463971,False,2021-08-27
UNT-00230,CLS-SML-057,Pemilik Properti 229,08147550401,True,2022-01-24
UNT-00231,CLS-SML-009,Pemilik Properti 230,08185485736,True,2020-11-06
UNT-00232,CLS-SML-015,Pemilik Properti 231,08155871900,True,2021-02-24
UNT-00233,CLS-SML-005,Pemilik Properti 232,08147929411,False,2020-05-21
UNT-00234,CLS-SML-093,Pemilik Properti 233,08185332279,True,2021-05-25
UNT-00235,CLS-SML-034,Pemilik Properti 234,08142925598,False,2020-10-10
UNT-00236,CLS-SML-054,Pemilik Properti 235,08181742529,False,2020-07-28
UNT-00237,CLS-SML-015,Pemilik Properti 236,08117630537,False,2021-03-24
UNT-00238,CLS-SML-092,Pemilik Properti 237,08110258833,False,2021-12-10
UNT-00239,CLS-SML-044,Pemilik Properti 238,08130896048,False,2020-07-16
UNT-00240,CLS-SML-029,Pemilik Properti 239,08143380939,False,2020-11-18
UNT-00241,CLS-SML-069,Pemilik Properti 240,,False,2022-05-06
UNT-00242,CLS-SML-071,Pemilik Properti 241,08178204930,True,2021-07-22
UNT-00243,CLS-SML-075,Pemilik Properti 242,,False,2021-03-06
UNT-00244,CLS-SML-089,Pemilik Properti 243,08117286502,False,2022-06-04
UNT-00245,CLS-SML-008,Pemilik Properti 244,08161242620,False,2020-06-05
UNT-00246,CLS-SML-048,Pemilik Properti 245,,False,2020-03-09
UNT-00247,CLS-SML-085,Pemilik Properti 246,08194903306,False,2021-07-02
UNT-00248,CLS-SML-029,Pemilik Properti 247,08185237982,False,2022-03-06
UNT-00249,CLS-SML-018,Pemilik Properti 248,,True,2021-02-23
UNT-00250,CLS-SML-062,Pemilik Properti 249,08184553997,False,2021-01-20
UNT-00251,CLS-SML-008,Pemilik Properti 250,08180952593,True,2022-05-23
UNT-00252,CLS-SML-056,Pemilik Properti 251,,False,2022-08-02
UNT-00253,CLS-SML-065,Pemilik Properti 252,08181296979,False,2020-02-22
UNT-00254,CLS-SML-032,Pemilik Properti 253,08166475068,True,2020-07-19
UNT-00255,CLS-SML-059,Pemilik Properti 254,08168610893,False,2022-07-11
UNT-00256,CLS-SML-050,Pemilik Properti 255,08146916524,False,2020-12-19
UNT-00257,CLS-SML-093,Pemilik Properti 256,08186940769,False,2021-08-09
UNT-00258,CLS-SML-028,Pemilik Properti 257,08113707034,True,2022-06-14
UNT-00259,CLS-SML-098,Pemilik Properti 258,,False,2021-12-03
UNT-00260,CLS-SML-031,Pemilik Properti 259,08117481995,False,2022-01-13
UNT-00261,CLS-SML-044,Pemilik Properti 260,08119456718,False,2021-10-26
UNT-00262,CLS-SML-066,Pemilik Properti 261,08174344732,True,2022-03-17
UNT-00263,CLS-SML-090,Pemilik Properti 262,08165402172,False,2021-10-23
UNT-00264,CLS-SML-049,Pemilik Properti 263,08158589148,False,2021-12-30
UNT-00265,CLS-SML-025,Pemilik Properti 264,08124040984,False,2020-05-16
UNT-00266,CLS-SML-098,Pemilik Properti 265,08129962084,False,2021-09-15
UNT-00267,CLS-SML-016,Pemilik Properti 266,08159412034,False,2020-02-29
UNT-00268,CLS-SML-004,Pemilik Properti 267,,False,2022-07-20
UNT-00269,CLS-SML-027,Pemilik Properti 268,08144259356,False,2021-02-08
UNT-00270,CLS-SML-072,Pemilik Properti 269,08123754138,False,2020-06-01
UNT-00271,CLS-SML-083,Pemilik Properti 270,,False,2020-11-30
UNT-00272,CLS-SML-048,Pemilik Properti 271,08172816165,True,2021-11-27
UNT-00273,CLS-SML-080,Pemilik Properti 272,08130851250,False,2020-03-06
UNT-00274,CLS-SML-068,Pemilik Properti 273,,False,2020-03-24
UNT-00275,CLS-SML-051,Pemilik Properti 274,08193901401,True,2020-12-14
UNT-00276,CLS-SML-052,Pemilik Properti 275,,True,2022-08-14
UNT-00277,CLS-SML-053,Pemilik Properti 276,,True,2021-02-03
UNT-00278,CLS-SML-050,Pemilik Properti 277,,False,2022-09-01
UNT-00279,CLS-SML-046,Pemilik Properti 278,,False,2021-03-11
UNT-00280,CLS-SML-044,Pemilik Properti 279,08171990364,False,2022-09-06
UNT-00281,CLS-SML-068,Pemilik Properti 280,,False,2021-02-19
UNT-00282,CLS-SML-006,Pemilik Properti 281,,False,2020-09-13
UNT-00283,CLS-SML-092,Pemilik Properti 282,08139465844,False,2022-01-31
UNT-00284,CLS-SML-035,Pemilik Properti 283,,True,2021-01-29
UNT-00285,CLS-SML-077,Pemilik Properti 284,,False,2022-04-27
UNT-00286,CLS-SML-053,Pemilik Properti 285,08116331719,False,2020-03-12
UNT-00287,CLS-SML-083,Pemilik Properti 286,,False,2022-01-26
UNT-00288,CLS-SML-066,Pemilik Properti 287,,True,2020-07-24
UNT-00289,CLS-SML-052,Pemilik Properti 288,08117700493,False,2021-12-07
UNT-00290,CLS-SML-058,Pemilik Properti 289,08126873146,True,2022-02-07
UNT-00291,CLS-SML-072,Pemilik Properti 290,08198579873,False,2021-01-06
UNT-00292,CLS-SML-058,Pemilik Properti 291,08113324690,False,2020-09-02
UNT-00293,CLS-SML-088,Pemilik Properti 292,08124727883,True,2021-05-25
UNT-00294,CLS-SML-019,Pemilik Properti 293,,False,2022-07-13
UNT-00295,CLS-SML-006,Pemilik Properti 294,08184627654,False,2020-03-22
UNT-00296,CLS-SML-024,Pemilik Properti 295,08190057280,False,2020-02-24
UNT-00297,CLS-SML-014,Pemilik Properti 296,08115597952,False,2021-08-25
UNT-00298,CLS-SML-060,Pemilik Properti 297,08190835194,False,2020-05-12
UNT-00299,CLS-SML-079,Pemilik Properti 298,08189694540,False,2022-07-28
UNT-00300,CLS-SML-027,Pemilik Properti 299,08153501369,False,2022-02-08
UNT-00301,CLS-SML-096,Pemilik Properti 300,08114338168,False,2022-07-29
UNT-00302,CLS-SML-022,Pemilik Properti 301,,False,2020-03-10
UNT-00303,CLS-SML-041,Pemilik Properti 302,,False,2021-11-25
UNT-00304,CLS-SML-017,Pemilik Properti 303,08121318024,False,2020-04-30
UNT-00305,CLS-SML-017,Pemilik Properti 304,08121402518,False,2021-05-18
UNT-00306,CLS-SML-068,Pemilik Properti 305,08141421910,False,2021-04-06
UNT-00307,CLS-SML-098,Pemilik Properti 306,,False,2022-07-24
UNT-00308,CLS-SML-096,Pemilik Properti 307,,False,2020-07-09
UNT-00309,CLS-SML-081,Pemilik Properti 308,08167288872,True,2020-05-21
UNT-00310,CLS-SML-017,Pemilik Properti 309,08113868909,False,2020-10-05
UNT-00311,CLS-SML-093,Pemilik Properti 310,08197416707,False,2021-05-03
UNT-00312,CLS-SML-047,Pemilik Properti 311,08116634779,False,2021-05-22
UNT-00313,CLS-SML-078,Pemilik Properti 312,08180953330,True,2022-01-03
UNT-00314,CLS-SML-069,Pemilik Properti 313,08173248379,False,2021-02-20
UNT-00315,CLS-SML-084,Pemilik Properti 314,,False,2022-03-13
UNT-00316,CLS-SML-021,Pemilik Properti 315,08149669121,False,2022-08-12
UNT-00317,CLS-SML-066,Pemilik Properti 316,,False,2020-01-19
UNT-00318,CLS-SML-057,Pemilik Properti 317,08124607234,False,2021-05-13
UNT-00319,CLS-SML-055,Pemilik Properti 318,08197208950,False,2021-09-19
UNT-00320,CLS-SML-041,Pemilik Properti 319,,True,2022-04-25
UNT-00321,CLS-SML-008,Pemilik Properti 320,08121462588,False,2020-12-29
UNT-00322,CLS-SML-018,Pemilik Properti 321,08190635214,False,2022-05-30
UNT-00323,CLS-SML-080,Pemilik Properti 322,,True,2021-07-14
UNT-00324,CLS-SML-044,Pemilik Properti 323,08169495633,False,2020-10-26
UNT-00325,CLS-SML-046,Pemilik Properti 324,,False,2022-04-28
UNT-00326,CLS-SML-040,Pemilik Properti 325,08177366928,False,2022-07-19
UNT-00327,CLS-SML-058,Pemilik Properti 326,08134462056,False,2021-11-07
UNT-00328,CLS-SML-014,Pemilik Properti 327,08158530879,False,2020-05-28
UNT-00329,CLS-SML-002,Pemilik Properti 328,08193720022,False,2021-03-27
UNT-00330,CLS-SML-080,Pemilik Properti 329,,False,2021-01-02
UNT-00331,CLS-SML-007,Pemilik Properti 330,,False,2021-06-25
UNT-00332,CLS-SML-022,Pemilik Properti 331,08168040073,False,2022-07-06
UNT-00333,CLS-SML-071,Pemilik Properti 332,,False,2021-09-07
UNT-00334,CLS-SML-033,Pemilik Properti 333,,False,2020-05-12
UNT-00335,CLS-SML-093,Pemilik Properti 334,08119606296,False,2022-04-03
UNT-00336,CLS-SML-099,Pemilik Properti 335,08145951458,False,2021-07-03
UNT-00337,CLS-SML-045,Pemilik Properti 336,08155741057,False,2021-10-28
UNT-00338,CLS-SML-037,Pemilik Properti 337,08197879740,False,2020-03-28
UNT-00339,CLS-SML-090,Pemilik Properti 338,08118505698,False,2020-11-14
UNT-00340,CLS-SML-047,Pemilik Properti 339,,False,2020-02-16
UNT-00341,CLS-SML-055,Pemilik Properti 340,,True,2020-12-02
UNT-00342,CLS-SML-023,Pemilik Properti 341,,True,2021-11-05
UNT-00343,CLS-SML-099,Pemilik Properti 342,08173556480,True,2020-12-09
UNT-00344,CLS-SML-050,Pemilik Properti 343,08163900556,False,2022-02-01
UNT-00345,CLS-SML-079,Pemilik Properti 344,08123148410,False,2020-10-18
UNT-00346,CLS-SML-054,Pemilik Properti 345,08145972576,False,2021-05-05
UNT-00347,CLS-SML-006,Pemilik Properti 346,,True,2022-05-04
UNT-00348,CLS-SML-073,Pemilik Properti 347,08110671388,False,2021-05-25
UNT-00349,CLS-SML-063,Pemilik Properti 348,08198728159,False,2021-05-04
